"EntityId","Name","Role","Principal","IsGroup","Propagate"
"Folder-group-d1","Datacenters","Admin","VSPHERE.LOCAL\vpxd-extension-98162329-48e5-43d8-8249-f087752f9456","False","True"
"Folder-group-d1","Datacenters","Admin","VSPHERE.LOCAL\vpxd-98162329-48e5-43d8-8249-f087752f9456","False","True"
"Folder-group-d1","Datacenters","ReadOnly","VSPHERE.LOCAL\vsphere-webclient-98162329-48e5-43d8-8249-f087752f9456","False","True"
"Folder-group-d1","Datacenters","Admin","DELTABANK\ADMIN_KALEKSANDAR","False","True"
"Folder-group-d1","Datacenters","Admin","VSPHERE.LOCAL\Administrator","False","True"
"Folder-group-d1","Datacenters","Admin","DELTABANK\Domain Admins","True","True"
"Folder-group-d1","Datacenters","Admin","DELTABANK\Srv_admins","True","True"
"Folder-group-d1","Datacenters","Admin","VSPHERE.LOCAL\Administrators","True","True"
"Folder-group-d1","Datacenters","Admin","VSPHERE.LOCAL\vpxd-extension-98162329-48e5-43d8-8249-f087752f9456","False","True"
"Folder-group-d1","Datacenters","Admin","VSPHERE.LOCAL\vpxd-98162329-48e5-43d8-8249-f087752f9456","False","True"
"Folder-group-d1","Datacenters","ReadOnly","VSPHERE.LOCAL\vsphere-webclient-98162329-48e5-43d8-8249-f087752f9456","False","True"
"Folder-group-d1","Datacenters","Admin","DELTABANK\ADMIN_KALEKSANDAR","False","True"
"Folder-group-d1","Datacenters","Admin","VSPHERE.LOCAL\Administrator","False","True"
"Folder-group-d1","Datacenters","Admin","DELTABANK\Domain Admins","True","True"
"Folder-group-d1","Datacenters","Admin","DELTABANK\Srv_admins","True","True"
"Folder-group-d1","Datacenters","Admin","VSPHERE.LOCAL\Administrators","True","True"
"Folder-group-d1","Datacenters","Admin","VSPHERE.LOCAL\vpxd-extension-98162329-48e5-43d8-8249-f087752f9456","False","True"
"Folder-group-d1","Datacenters","Admin","VSPHERE.LOCAL\vpxd-98162329-48e5-43d8-8249-f087752f9456","False","True"
"Folder-group-d1","Datacenters","ReadOnly","VSPHERE.LOCAL\vsphere-webclient-98162329-48e5-43d8-8249-f087752f9456","False","True"
"Folder-group-d1","Datacenters","Admin","DELTABANK\ADMIN_KALEKSANDAR","False","True"
"Folder-group-d1","Datacenters","Admin","VSPHERE.LOCAL\Administrator","False","True"
"Folder-group-d1","Datacenters","Admin","DELTABANK\Domain Admins","True","True"
"Folder-group-d1","Datacenters","Admin","DELTABANK\Srv_admins","True","True"
"Folder-group-d1","Datacenters","Admin","VSPHERE.LOCAL\Administrators","True","True"
