"Name","Path"
"se-bg-con3","Srbija sume\Security Sunday\se-bg-con3"
"SE-BG-SC","Srbija sume\Security Sunday\SE-BG-SC"
"SymantecEPM","Srbija sume\Security Saturday\SymantecEPM"
"SymantecLUA","Srbija sume\Security Saturday\SymantecLUA"
"safeguard","Srbija sume\Security Sunday\safeguard"
"Se-bg-06","Srbija sume\Security Saturday\Se-bg-06"
"SE-SECSQL","Srbija sume\Security Sunday\SE-SECSQL"
"Sec-Nessus","Srbija sume\Security Sunday\Sec-Nessus"
"ERASERNEW2","Srbija sume\Security Saturday\ERASERNEW2"
"SE-SECSQL2","Srbija sume\Security Sunday\SE-SECSQL2"
"SE-BG-ANALYTICS","Srbija sume\Security Sunday\SE-BG-ANALYTICS"
"DLP-ENFORCE","Srbija sume\Security Sunday\DLP-ENFORCE"
"se-bg-netca","Srbija sume\Security Sunday\se-bg-netca"
"SE-BG-IPSC","Srbija sume\Security Sunday\SE-BG-IPSC"
"SE-BG-SQL","Srbija sume\Security Saturday\SE-BG-SQL"
"SE-BG-FILE","Srbija sume\Security Sunday\SE-BG-FILE"
"se-bg-secsyslog","Srbija sume\Security Saturday\se-bg-secsyslog"
"ArcMC","Srbija sume\Security Saturday\ArcMC"
"se-bg-interca","Srbija sume\Security Saturday\se-bg-interca"
"POC-CIS","Srbija sume\No Backup\POC-CIS"
"sec-222-5636","Srbija sume\Security Saturday\sec-222-5636"
"POC-CC","Srbija sume\No Backup\POC-CC"
"DLP-ENDPOINT","Srbija sume\Security Saturday\DLP-ENDPOINT"
